Player,Season,2015/16(*),2016/17(*),2017/18(*),2018/19(*),2019/20(*),2020/21(*),2021/22(*),2022/23(*),2023/24(*)
Alex Poythress,2017,,,998705.0,,,,,,
Alex Poythress,2018,,,,96313.0,,,,,
Alex Stepheson,2015,121991.0,,,,,,,,
Alexis Ajinca,2015,5976546.0,,,,,,,,
Alexis Ajinca,2016,,6339351.0,,,,,,,
Alexis Ajinca,2017,,,6363915.0,,,,,,
Alexis Ajinca,2018,,,,6589726.0,,,,,
Alfonzo McKinnie,2017,,,1046093.0,,,,,,
Alfonzo McKinnie,2018,,,,1682384.0,,,,,
Alfonzo McKinnie,2019,,,,,2933915.0,,,,
Alfonzo McKinnie,2020,,,,,,2148304.0,,,
Alfonzo McKinnie,2021,,,,,,,1260426.0,,
Alize Johnson,2018,,,,1045380.0,,,,,
Alize Johnson,2019,,,,,1737855.0,,,,
Alize Johnson,2020,,,,,,757522.0,,,
Alize Johnson,2021,,,,,,,1160670.0,,
Alize Johnson,2022,,,,,,,,203885.0,
Allen Crabbe,2015,1247120.0,,,,,,,,
Allen Crabbe,2016,,24115366.0,,,,,,,
Allen Crabbe,2017,,,23727776.0,,,,,,
Allen Crabbe,2018,,,,24103386.0,,,,,
Allonzo Trier,2018,,,,4216612.0,,,,,
Alondes Williams,2022,,,,,,,,269786.0,
Alondes Williams,2023,,,,,,,,,218640.0
Alonzo Gee,2015,1737824.0,,,,,,,,
Alonzo Gee,2016,,2939998.0,,,,,,,
Alperen Sengun,2021,,,,,,,3717287.0,,
Alperen Sengun,2022,,,,,,,,3578853.0,
Alperen Sengun,2023,,,,,,,,,3641356.0
Amare Stoudemire,2015,1973730.0,,,,,,,,
Amari Bailey,2023,,,,,,,,,576415.0
Amen Thompson,2023,,,,,,,,,9071042.0
Amida Brimah,2020,,,,,,149967.0,,,
Amile Jefferson,2017,,,99079.0,,,,,,
Amile Jefferson,2018,,,,96313.0,,,,,
Amir Coffey,2019,,,,,97595.0,,,,
Amir Coffey,2020,,,,,,705429.0,,,
Amir Coffey,2021,,,,,,,663253.0,,
Amir Coffey,2022,,,,,,,,3599743.0,
Amir Coffey,2023,,,,,,,,,3775618.0
Amir Johnson,2015,15798405.0,,,,,,,,
Amir Johnson,2016,,15642400.0,,,,,,,
Amir Johnson,2017,,,14108407.0,,,,,,
Amir Johnson,2018,,,,2984651.0,,,,,
Anderson Varejao,2015,13374106.0,,,,,,,,
Anderson Varejao,2016,,14145499.0,,,,,,,
Anderson Varejao,2020,,,,,,2610087.0,,,
Andre Drummond,2015,4307817.0,,,,,,,,
Andre Drummond,2016,,28829921.0,,,,,,,
Andre Drummond,2017,,,30494048.0,,,,,,
Andre Drummond,2018,,,,31710944.0,,,,,
Andre Drummond,2019,,,,,33231237.0,,,,
Andre Drummond,2020,,,,,,35039540.0,,,
Andre Drummond,2021,,,,,,,2777011.0,,
Andre Drummond,2022,,,,,,,,3392921.0,
Andre Drummond,2023,,,,,,,,,3459838.0
Andre Iguodala,2015,15417211.0,,,,,,,,
Andre Iguodala,2016,,14510109.0,,,,,,,
Andre Iguodala,2017,,,19001222.0,,,,,,
Andre Iguodala,2018,,,,19948489.0,,,,,
Andre Iguodala,2019,,,,,21078676.0,,,,
Andre Iguodala,2020,,,,,,18280371.0,,,
Andre Iguodala,2021,,,,,,,3054712.0,,
Andre Iguodala,2022,,,,,,,,3081038.0,
Andre Ingram,2017,,,59100.0,,,,,,
Andre Ingram,2018,,,,95049.0,,,,,
