Player,Season,2015/16(*),2016/17(*),2017/18(*),2018/19(*),2019/20(*),2020/21(*),2021/22(*),2022/23(*),2023/24(*)
Devonte Graham,2020,,,,,,2027733.0,,,
Devonte Graham,2021,,,,,,,12719822.0,,
Devonte Graham,2022,,,,,,,,12246326.0,
Devonte Graham,2023,,,,,,,,,12459539.0
Devyn Marble,2015,1112548.0,,,,,,,,
Dewan Hernandez,2019,,,,,1101831.0,,,,
Dewayne Dedmon,2015,1247120.0,,,,,,,,
Dewayne Dedmon,2016,,3777639.0,,,,,,,
Dewayne Dedmon,2017,,,8849819.0,,,,,,
Dewayne Dedmon,2018,,,,7854717.0,,,,,
Dewayne Dedmon,2019,,,,,16354146.0,,,,
Dewayne Dedmon,2020,,,,,,4201411.0,,,
Dewayne Dedmon,2021,,,,,,,6078118.0,,
Dewayne Dedmon,2022,,,,,,,,8783094.0,
Dewayne Dedmon,2023,,,,,,,,,2830348.0
Dexter Dennis,2023,,,,,,,,,218640.0
Deyonta Davis,2016,,1784835.0,,,,,,,
Deyonta Davis,2017,,,1683531.0,,,,,,
Deyonta Davis,2018,,,,2171271.0,,,,,
Diamond Stone,2016,,708432.0,,,,,,,
Diamond Stone,2017,,,1683531.0,,,,,,
Didi Louzada,2020,,,,,,149967.0,,,
Didi Louzada,2021,,,,,,,2066251.0,,
Didi Louzada,2022,,,,,,,,284191.0,
Didi Louzada,2023,,,,,,,,,275996.0
Dillon Brooks,2017,,,1046093.0,,,,,,
Dillon Brooks,2018,,,,1718365.0,,,,,
Dillon Brooks,2019,,,,,1985213.0,,,,
Dillon Brooks,2020,,,,,,13893082.0,,,
Dillon Brooks,2021,,,,,,,14107439.0,,
Dillon Brooks,2022,,,,,,,,12087283.0,
Dillon Brooks,2023,,,,,,,,,23300028.0
Dion Waiters,2015,6764916.0,,,,,,,,
Dion Waiters,2016,,3777639.0,,,,,,,
Dion Waiters,2017,,,15519248.0,,,,,,
Dion Waiters,2018,,,,15840347.0,,,,,
Dion Waiters,2019,,,,,460432.0,,,,
Dion Waiters,2020,,,,,,15416446.0,,,
Dionte Christmas,2016,,65176.0,,,,,,,
Dirk Nowitzki,2015,10971114.0,,,,,,,,
Dirk Nowitzki,2016,,32588333.0,,,,,,,
Dirk Nowitzki,2017,,,6412912.0,,,,,,
Dirk Nowitzki,2018,,,,6233903.0,,,,,
Domantas Sabonis,2016,,3180882.0,,,,,,,
Domantas Sabonis,2017,,,3270585.0,,,,,,
Domantas Sabonis,2018,,,,3316187.0,,,,,
Domantas Sabonis,2019,,,,,4329213.0,,,,
Domantas Sabonis,2020,,,,,,24130090.0,,,
Domantas Sabonis,2021,,,,,,,21392429.0,,
Domantas Sabonis,2022,,,,,,,,22372076.0,
Domantas Sabonis,2023,,,,,,,,,30170619.0
Dominick Barlow,2022,,,,,,,,539571.0,
Dominick Barlow,2023,,,,,,,,,1045573.0
Donald Sloan,2015,1336836.0,,,,,,,,
Donatas Motiejunas,2016,,791884.0,,,,,,,
Donatas Motiejunas,2018,,,,123791.0,,,,,
Donovan Mitchell,2017,,,3362007.0,,,,,,
Donovan Mitchell,2018,,,,3879332.0,,,,,
Donovan Mitchell,2019,,,,,4459481.0,,,,
Donovan Mitchell,2020,,,,,,6331712.0,,,
Donovan Mitchell,2021,,,,,,,32497412.0,,
Donovan Mitchell,2022,,,,,,,,32777478.0,
Donovan Mitchell,2023,,,,,,,,,34147405.0
Donovan Williams,2022,,,,,,,,254280.0,
Donta Hall,2019,,,,,124500.0,,,,
Donta Hall,2020,,,,,,458563.0,,,
Donte DiVincenzo,2018,,,,3097451.0,,,,,
Donte DiVincenzo,2019,,,,,3564140.0,,,,
Donte DiVincenzo,2020,,,,,,3709891.0,,,
Donte DiVincenzo,2021,,,,,,,5406884.0,,
Donte DiVincenzo,2022,,,,,,,,4771296.0,
Donte DiVincenzo,2023,,,,,,,,,11223882.0
Donte Grantham,2018,,,,96313.0,,,,,
Dorell Wright,2015,23219.0,,,,,,,,
Dorian Finney-Smith,2016,,708432.0,,,,,,,
Dorian Finney-Smith,2017,,,1683531.0,,,,,,
Dorian Finney-Smith,2018,,,,1926214.0,,,,,
Dorian Finney-Smith,2019,,,,,4906243.0,,,,
Dorian Finney-Smith,2020,,,,,,4874765.0,,,
Dorian Finney-Smith,2021,,,,,,,4625390.0,,
Dorian Finney-Smith,2022,,,,,,,,13719965.0,
Dorian Finney-Smith,2023,,,,,,,,,14345983.0
Doug McDermott,2015,3133929.0,,,,,,,,
Doug McDermott,2016,,3236725.0,,,,,,,
Doug McDermott,2017,,,4226101.0,,,,,,
Doug McDermott,2018,,,,9143058.0,,,,,
Doug McDermott,2019,,,,,8994779.0,,,,
Doug McDermott,2020,,,,,,8937070.0,,,
Doug McDermott,2021,,,,,,,15899778.0,,
Doug McDermott,2022,,,,,,,,14578960.0,
Doug McDermott,2023,,,,,,,,,14415995.0
Dragan Bender,2016,,5574325.0,,,,,,,
Dragan Bender,2017,,,5731604.0,,,,,,
Dragan Bender,2018,,,,5811593.0,,,,,
Dragan Bender,2019,,,,,232678.0,,,,
Draymond Green,2015,18774917.0,,,,,,,,
Draymond Green,2016,,19983733.0,,,,,,,
Draymond Green,2017,,,21034353.0,,,,,,
Draymond Green,2018,,,,21780714.0,,,,,
Draymond Green,2019,,,,,22739372.0,,,,
Draymond Green,2020,,,,,,27112175.0,,,
Draymond Green,2021,,,,,,,27783229.0,,
Draymond Green,2022,,,,,,,,27362288.0,
Draymond Green,2023,,,,,,,,,22984687.0
Drew Eubanks,2018,,,,96313.0,,,,,
Drew Eubanks,2019,,,,,97595.0,,,,
Drew Eubanks,2020,,,,,,1974967.0,,,
Drew Eubanks,2021,,,,,,,2590009.0,,
Drew Eubanks,2022,,,,,,,,2086832.0,
Drew Eubanks,2023,,,,,,,,,2416341.0
Drew Gooden,2015,4344561.0,,,,,,,,
Drew Peterson,2023,,,,,,,,,407466.0
Dru Smith,2022,,,,,,,,396925.0,
Dru Smith,2023,,,,,,,,,1855306.0
Duane Washington Jr,2021,,,,,,,1557225.0,,
Duane Washington Jr,2022,,,,,,,,666711.0,
Duane Washington Jr,2023,,,,,,,,,457156.0
Duje Dukan,2015,691302.0,,,,,,,,
Duncan Robinson,2018,,,,96313.0,,,,,
Duncan Robinson,2019,,,,,1737855.0,,,,
Duncan Robinson,2020,,,,,,2027733.0,,,
Duncan Robinson,2021,,,,,,,18096838.0,,
Duncan Robinson,2022,,,,,,,,17920987.0,
Duncan Robinson,2023,,,,,,,,,18693427.0
Duop Reath,2023,,,,,,,,,2009198.0
Dusty Hannahs,2018,,,,59059.0,,,,,
Dwayne Bacon,2017,,,1046093.0,,,,,,
Dwayne Bacon,2018,,,,1718365.0,,,,,
Dwayne Bacon,2019,,,,,1985213.0,,,,
Dwayne Bacon,2020,,,,,,2046005.0,,,
Dwight Buycks,2017,,,959576.0,,,,,,
Dwight Howard,2015,29436859.0,,,,,,,,
Dwight Howard,2016,,30633033.0,,,,,,,
Dwight Howard,2017,,,30140689.0,,,,,,
Dwight Howard,2018,,,,30242814.0,,,,,
Dwight Howard,2019,,,,,3145825.0,,,,
Dwight Howard,2020,,,,,,3125642.0,,,
Dwight Howard,2021,,,,,,,3054712.0,,
Dwight Powell,2015,1112548.0,,,,,,,,
Dwight Powell,2016,,10917091.0,,,,,,,
Dwight Powell,2017,,,11547250.0,,,,,,
Dwight Powell,2018,,,,12008055.0,,,,,
Dwight Powell,2019,,,,,12583748.0,,,,
Dwight Powell,2020,,,,,,13503253.0,,,
Dwight Powell,2021,,,,,,,12812475.0,,
Dwight Powell,2022,,,,,,,,11748123.0,
Dwight Powell,2023,,,,,,,,,4118855.0
Dwyane Wade,2015,26330676.0,,,,,,,,
Dwyane Wade,2016,,30241973.0,,,,,,,
Dwyane Wade,2017,,,22930846.0,,,,,,
Dwyane Wade,2018,,,,2984651.0,,,,,
Dylan Windler,2019,,,,,2497032.0,,,,
Dylan Windler,2020,,,,,,2604879.0,,,
Dylan Windler,2021,,,,,,,2589293.0,,
Dylan Windler,2022,,,,,,,,4280676.0,
Dylan Windler,2023,,,,,,,,,1149455.0
Dyson Daniels,2022,,,,,,,,5840702.0,
Dyson Daniels,2023,,,,,,,,,5955989.0
Dzanan Musa,2018,,,,2037738.0,,,,,
Dzanan Musa,2019,,,,,2344693.0,,,,
Dzanan Musa,2020,,,,,,2440795.0,,,
E'Twaun Moore,2015,1336836.0,,,,,,,,
E'Twaun Moore,2016,,11472870.0,,,,,,,
E'Twaun Moore,2017,,,10831440.0,,,,,,
E'Twaun Moore,2018,,,,10982497.0,,,,,
E'Twaun Moore,2019,,,,,10628062.0,,,,
E'Twaun Moore,2020,,,,,,2841492.0,,,
E'Twaun Moore,2021,,,,,,,3054712.0,,
EJ Liddell,2022,,,,,,,,539571.0,
EJ Liddell,2023,,,,,,,,,1855306.0
EJ Singler,2016,,65176.0,,,,,,,
Ed Davis,2015,9190461.0,,,,,,,,
Ed Davis,2016,,8690222.0,,,,,,,
Ed Davis,2017,,,8147645.0,,,,,,
Ed Davis,2018,,,,5546926.0,,,,,
Ed Davis,2019,,,,,5847016.0,,,,
Ed Davis,2020,,,,,,6099977.0,,,
Ed Davis,2021,,,,,,,3054712.0,,
Edmond Sumner,2017,,,99079.0,,,,,,
Edmond Sumner,2018,,,,560794.0,,,,,
Edmond Sumner,2019,,,,,2453121.0,,,,
Edmond Sumner,2020,,,,,,2632373.0,,,
Edmond Sumner,2021,,,,,,,2682726.0,,
Edmond Sumner,2022,,,,,,,,2086832.0,
Edmond Sumner,2023,,,,,,,,,41661.0
Egidijus Mockevicius,2016,,130353.0,,,,,,,
Ekpe Udoh,2017,,,4104264.0,,,,,,
Ekpe Udoh,2018,,,,4189182.0,,,,,
Elfrid Payton,2015,3298865.0,,,,,,,,
Elfrid Payton,2016,,3406914.0,,,,,,,
Elfrid Payton,2017,,,4274001.0,,,,,,
Elfrid Payton,2018,,,,3740341.0,,,,,
Elfrid Payton,2019,,,,,9812487.0,,,,
Elfrid Payton,2020,,,,,,5809502.0,,,
Elfrid Payton,2021,,,,,,,2589691.0,,
Elgin Cook,2016,,65176.0,,,,,,,
Elie Okobo,2018,,,,1544092.0,,,,,
Elie Okobo,2019,,,,,1737855.0,,,,
Elijah Bryant,2020,,,,,,29993.0,,,
Elijah Hughes,2020,,,,,,1094762.0,,,
Elijah Hughes,2021,,,,,,,1755313.0,,
Elijah Millsap,2015,464652.0,,,,,,,,
Elliot Williams,2015,75998.0,,,,,,,,
Elliot Williams,2016,,325883.0,,,,,,,
Elton Brand,2015,1172627.0,,,,,,,,
Elton Brand,2016,,1277462.0,,,,,,,
Emanuel Terry,2018,,,,118118.0,,,,,
Emanuel Terry,2021,,,,,,,98957.0,,
Emeka Okafor,2017,,,1043115.0,,,,,,
Emmanuel Mudiay,2015,4084203.0,,,,,,,,
Emmanuel Mudiay,2016,,4225794.0,,,,,,,
Emmanuel Mudiay,2017,,,4337027.0,,,,,,
Emmanuel Mudiay,2018,,,,5354273.0,,,,,
Emmanuel Mudiay,2019,,,,,2130714.0,,,,
Emmanuel Mudiay,2021,,,,,,,128883.0,,
Emoni Bates,2023,,,,,,,,,576415.0
Enes Kanter,2015,21601028.0,,,,,,,,
Enes Kanter,2016,,22350171.0,,,,,,,
Enes Kanter,2017,,,22937931.0,,,,,,
Enes Kanter,2018,,,,24018733.0,,,,,
Enes Kanter,2019,,,,,5847016.0,,,,
Enes Kanter,2020,,,,,,6099977.0,,,
Enes Kanter,2021,,,,,,,3054712.0,,
Eric Bledsoe,2015,17773206.0,,,,,,,,
Eric Bledsoe,2016,,18249466.0,,,,,,,
Eric Bledsoe,2017,,,18597446.0,,,,,,
Eric Bledsoe,2018,,,,18701709.0,,,,,
Eric Bledsoe,2019,,,,,19165014.0,,,,
Eric Bledsoe,2020,,,,,,20565418.0,,,
Eric Bledsoe,2021,,,,,,,20958799.0,,
Eric Bledsoe,2022,,,,,,,,1378374.0,
Eric Bledsoe,2023,,,,,,,,,1338628.0
Eric Gordon,2015,20424746.0,,,,,,,,
Eric Gordon,2016,,16145127.0,,,,,,,
Eric Gordon,2017,,,16600491.0,,,,,,
Eric Gordon,2018,,,,16832005.0,,,,,
Eric Gordon,2019,,,,,17242662.0,,,,
Eric Gordon,2020,,,,,,20558431.0,,,
Eric Gordon,2021,,,,,,,21067285.0,,
Eric Gordon,2022,,,,,,,,20748097.0,
Eric Gordon,2023,,,,,,,,,3291427.0
Eric Griffin,2017,,,99079.0,,,,,,
Eric Moreland,2015,1112548.0,,,,,,,,
Eric Moreland,2017,,,2231693.0,,,,,,
Eric Moreland,2018,,,,386325.0,,,,,
Eric Paschall,2019,,,,,1101831.0,,,,
Eric Paschall,2020,,,,,,1849950.0,,,
Eric Paschall,2021,,,,,,,2061329.0,,
Erick Green,2015,262540.0,,,,,,,,
Erik McCree,2017,,,99079.0,,,,,,
Ersan Ilyasova,2015,10400617.0,,,,,,,,
Ersan Ilyasova,2016,,10949680.0,,,,,,,
Ersan Ilyasova,2017,,,8355111.0,,,,,,
Ersan Ilyasova,2018,,,,8727464.0,,,,,
Ersan Ilyasova,2019,,,,,8585926.0,,,,
Ersan Ilyasova,2020,,,,,,1455778.0,,,
Ersan Ilyasova,2021,,,,,,,175557.0,,
Eugene Omoruyi,2021,,,,,,,325894.0,,
Eugene Omoruyi,2022,,,,,,,,1074197.0,
Eugene Omoruyi,2023,,,,,,,,,1503157.0
Evan Fournier,2015,3012497.0,,,,,,,,
Evan Fournier,2016,,22160066.0,,,,,,,
Evan Fournier,2017,,,21803902.0,,,,,,
Evan Fournier,2018,,,,21195270.0,,,,,
Evan Fournier,2019,,,,,21035520.0,,,,
Evan Fournier,2020,,,,,,20900558.0,,,
Evan Fournier,2021,,,,,,,19823100.0,,
Evan Fournier,2022,,,,,,,,19085184.0,
Evan Fournier,2023,,,,,,,,,19417463.0
Evan Mobley,2021,,,,,,,9337691.0,,
Evan Mobley,2022,,,,,,,,8989885.0,
Evan Mobley,2023,,,,,,,,,9146578.0
Evan Turner,2015,4509799.0,,,,,,,,
Evan Turner,2016,,21369399.0,,,,,,,
Evan Turner,2017,,,21972110.0,,,,,,
Evan Turner,2018,,,,22278539.0,,,,,
Evan Turner,2019,,,,,22822074.0,,,,
Facundo Campazzo,2020,,,,,,3899812.0,,,
Facundo Campazzo,2021,,,,,,,3584677.0,,
Facundo Campazzo,2022,,,,,,,,492290.0,
Feron Hunt,2021,,,,,,,135276.0,,
Feron Hunt,2022,,,,,,,,139544.0,
Festus Ezeli,2015,2644584.0,,,,,,,,
Festus Ezeli,2016,,9646146.0,,,,,,,
Festus Ezeli,2017,,,1282582.0,,,,,,
Filip Petrusev,2023,,,,,,,,,576415.0
Frank Jackson,2017,,,1046093.0,,,,,,
Frank Jackson,2018,,,,1718365.0,,,,,
Frank Jackson,2019,,,,,1985213.0,,,,
Frank Jackson,2020,,,,,,852004.0,,,
Frank Jackson,2021,,,,,,,3469042.0,,
Frank Jackson,2022,,,,,,,,119933.0,
Frank Kaminsky,2015,3439470.0,,,,,,,,
Frank Kaminsky,2016,,3558646.0,,,,,,,
Frank Kaminsky,2017,,,3652281.0,,,,,,
Frank Kaminsky,2018,,,,4523123.0,,,,,
Frank Kaminsky,2019,,,,,5847016.0,,,,
Frank Kaminsky,2020,,,,,,2117043.0,,,
Frank Kaminsky,2021,,,,,,,2416128.0,,
Frank Kaminsky,2022,,,,,,,,2612008.0,
Frank Mason,2017,,,1519071.0,,,,,,
Frank Mason,2018,,,,1718365.0,,,,,
Frank Mason,2019,,,,,97595.0,,,,
Frank Ntilikina,2017,,,4490475.0,,,,,,
Frank Ntilikina,2018,,,,5181271.0,,,,,
Frank Ntilikina,2019,,,,,5955934.0,,,,
Frank Ntilikina,2020,,,,,,7527342.0,,,
Frank Ntilikina,2021,,,,,,,2069001.0,,
Frank Ntilikina,2022,,,,,,,,2159083.0,
Frank Ntilikina,2023,,,,,,,,,2603356.0
Franz Wagner,2021,,,,,,,5790803.0,,
Franz Wagner,2022,,,,,,,,5575291.0,
Franz Wagner,2023,,,,,,,,,5672405.0
Fred VanVleet,2016,,708432.0,,,,,,,
Fred VanVleet,2017,,,1683531.0,,,,,,
Fred VanVleet,2018,,,,10789448.0,,,,,
Fred VanVleet,2019,,,,,11463626.0,,,,
Fred VanVleet,2020,,,,,,25897193.0,,,
Fred VanVleet,2021,,,,,,,22752208.0,,
Fred VanVleet,2022,,,,,,,,22531120.0,
Fred VanVleet,2023,,,,,,,,,42018817.0
Freddie Gillespie,2020,,,,,,442403.0,,,
Freddie Gillespie,2021,,,,,,,255732.0,,
Furkan Aldemir,2015,3533367.0,,,,,,,,
Furkan Korkmaz,2017,,,1880163.0,,,,,,
Furkan Korkmaz,2018,,,,2169398.0,,,,,
Furkan Korkmaz,2019,,,,,1987720.0,,,,
Furkan Korkmaz,2020,,,,,,2148304.0,,,
Furkan Korkmaz,2021,,,,,,,5353461.0,,
Furkan Korkmaz,2022,,,,,,,,5301440.0,
Furkan Korkmaz,2023,,,,,,,,,5529945.0
GG Jackson,2023,,,,,,,,,2050601.0
Gabe Vincent,2019,,,,,97595.0,,,,
Gabe Vincent,2020,,,,,,805250.0,,,
Gabe Vincent,2021,,,,,,,1930149.0,,
Gabe Vincent,2022,,,,,,,,1925140.0,
Gabe Vincent,2023,,,,,,,,,10811996.0
Gabe York,2022,,,,,,,,34110.0,
Gabriel Deck,2020,,,,,,4716786.0,,,
Gabriel Deck,2021,,,,,,,1954813.0,,
Gabriel Lundberg,2021,,,,,,,92234.0,,
Gal Mekel,2015,1247120.0,,,,,,,,
Garrett Temple,2015,1448979.0,,,,,,,,
Garrett Temple,2016,,10428266.0,,,,,,,
Garrett Temple,2017,,,10260660.0,,,,,,
Garrett Temple,2018,,,,9974244.0,,,,,
Garrett Temple,2019,,,,,5847016.0,,,,
Garrett Temple,2020,,,,,,5809502.0,,,
Garrett Temple,2021,,,,,,,5677666.0,,
Garrett Temple,2022,,,,,,,,5466314.0,
Garrett Temple,2023,,,,,,,,,3291427.0
Garrison Mathews,2019,,,,,97595.0,,,,
Garrison Mathews,2020,,,,,,838523.0,,,
Garrison Mathews,2021,,,,,,,2312695.0,,
Garrison Mathews,2022,,,,,,,,2120576.0,
Garrison Mathews,2023,,,,,,,,,2059427.0
Gary Clark,2018,,,,840482.0,,,,,
Gary Clark,2019,,,,,881609.0,,,,
Gary Clark,2020,,,,,,2459876.0,,,
Gary Clark,2021,,,,,,,938044.0,,
Gary Harris,2015,2089971.0,,,,,,,,
Gary Harris,2016,,2158494.0,,,,,,,
Gary Harris,2017,,,3270655.0,,,,,,
Gary Harris,2018,,,,20594143.0,,,,,
Gary Harris,2019,,,,,22310267.0,,,,
Gary Harris,2020,,,,,,23899409.0,,,
Gary Harris,2021,,,,,,,24204831.0,,
Gary Harris,2022,,,,,,,,13783744.0,
Gary Harris,2023,,,,,,,,,13386281.0
Gary Neal,2015,2816065.0,,,,,,,,
Gary Neal,2016,,94105.0,,,,,,,
Gary Payton II,2016,,754270.0,,,,,,,
Gary Payton II,2017,,,198158.0,,,,,,
Gary Payton II,2018,,,,106546.0,,,,,
Gary Payton II,2019,,,,,1291457.0,,,,
Gary Payton II,2020,,,,,,304507.0,,,
Gary Payton II,2021,,,,,,,1930149.0,,
Gary Payton II,2022,,,,,,,,8800390.0,
Gary Payton II,2023,,,,,,,,,8973957.0
Gary Trent Jr,2018,,,,1045380.0,,,,,
Gary Trent Jr,2019,,,,,1737855.0,,,,
Gary Trent Jr,2020,,,,,,2027733.0,,,
Gary Trent Jr,2021,,,,,,,18761738.0,,
Gary Trent Jr,2022,,,,,,,,18321776.0,
Gary Trent Jr,2023,,,,,,,,,19111491.0
George Hill,2015,10532270.0,,,,,,,,
George Hill,2016,,10428266.0,,,,,,,
George Hill,2017,,,25651650.0,,,,,,
George Hill,2018,,,,23688831.0,,,,,
George Hill,2019,,,,,12429854.0,,,,
George Hill,2020,,,,,,11687984.0,,,
George Hill,2021,,,,,,,6100300.0,,
George Hill,2022,,,,,,,,4241152.0,
George King,2018,,,,96313.0,,,,,
George King,2021,,,,,,,98957.0,,
Georges Niang,2016,,847296.0,,,,,,,
Georges Niang,2017,,,227337.0,,,,,,
Georges Niang,2018,,,,1885881.0,,,,,
Georges Niang,2019,,,,,2018130.0,,,,
Georges Niang,2020,,,,,,2173605.0,,,
Georges Niang,2021,,,,,,,3815946.0,,
Georges Niang,2022,,,,,,,,3673897.0,
Georges Niang,2023,,,,,,,,,9061482.0
Georgios Kalaitzakis,2021,,,,,,,578001.0,,
Georgios Papagiannis,2016,,2870693.0,,,,,,,
Georgios Papagiannis,2017,,,3189470.0,,,,,,
Georgios Papagiannis,2018,,,,2992871.0,,,,,
Gerald Green,2015,1794300.0,,,,,,,,
Gerald Green,2016,,1838761.0,,,,,,,
Gerald Green,2017,,,1771763.0,,,,,,
Gerald Green,2018,,,,1885881.0,,,,,
Gerald Henderson,2015,7899202.0,,,,,,,,
Gerald Henderson,2016,,11731800.0,,,,,,,
Gerald Henderson,2017,,,1282582.0,,,,,,
Gerald Wallace,2015,13304699.0,,,,,,,,
Gian Clavell,2017,,,99079.0,,,,,,
Giannis Antetokounmpo,2015,2572454.0,,,,,,,,
Giannis Antetokounmpo,2016,,3904629.0,,,,,,,
Giannis Antetokounmpo,2017,,,28822080.0,,,,,,
Giannis Antetokounmpo,2018,,,,30118858.0,,,,,
Giannis Antetokounmpo,2019,,,,,31697642.0,,,,
Giannis Antetokounmpo,2020,,,,,,33548245.0,,,
Giannis Antetokounmpo,2021,,,,,,,45496378.0,,
Giannis Antetokounmpo,2022,,,,,,,,45054279.0,
Giannis Antetokounmpo,2023,,,,,,,,,46996232.0
Glenn Robinson III,2015,1448187.0,,,,,,,,
Glenn Robinson III,2016,,1369361.0,,,,,,,
Glenn Robinson III,2017,,,1955046.0,,,,,,
Glenn Robinson III,2018,,,,5080630.0,,,,,
Glenn Robinson III,2019,,,,,2309451.0,,,,
Glenn Robinson III,2020,,,,,,1420167.0,,,
Goga Bitadze,2019,,,,,3454927.0,,,,
Goga Bitadze,2020,,,,,,3604304.0,,,
Goga Bitadze,2021,,,,,,,3582827.0,,
Goga Bitadze,2022,,,,,,,,5701719.0,
Goga Bitadze,2023,,,,,,,,,2127991.0
Goran Dragic,2015,19462319.0,,,,,,,,
Goran Dragic,2016,,20715393.0,,,,,,,
Goran Dragic,2017,,,21804479.0,,,,,,
Goran Dragic,2018,,,,22578168.0,,,,,
Goran Dragic,2019,,,,,23571925.0,,,,
Goran Dragic,2020,,,,,,21936446.0,,,
Goran Dragic,2021,,,,,,,22374060.0,,
Goran Dragic,2022,,,,,,,,3736201.0,
Gordon Hayward,2015,20287220.0,,,,,,,,
Gordon Hayward,2016,,20951873.0,,,,,,,
Gordon Hayward,2017,,,38128484.0,,,,,,
Gordon Hayward,2018,,,,38917377.0,,,,,
Gordon Hayward,2019,,,,,40109389.0,,,,
Gordon Hayward,2020,,,,,,34732706.0,,,
Gordon Hayward,2021,,,,,,,34603699.0,,
Gordon Hayward,2022,,,,,,,,31888161.0,
Gordon Hayward,2023,,,,,,,,,34309448.0
Gorgui Dieng,2015,1941150.0,,,,,,,,
Gorgui Dieng,2016,,3061715.0,,,,,,,
Gorgui Dieng,2017,,,18100266.0,,,,,,
Gorgui Dieng,2018,,,,18914643.0,,,,,
Gorgui Dieng,2019,,,,,19906118.0,,,,
Gorgui Dieng,2020,,,,,,21433964.0,,,
Gorgui Dieng,2021,,,,,,,4625390.0,,
Gorgui Dieng,2022,,,,,,,,4352732.0,
Gradey Dick,2023,,,,,,,,,4671511.0
Grant Riller,2020,,,,,,547332.0,,,
Grant Riller,2021,,,,,,,187543.0,,
Grant Williams,2019,,,,,2919018.0,,,,
Grant Williams,2020,,,,,,3045217.0,,,
Grant Williams,2021,,,,,,,3027086.0,,
Grant Williams,2022,,,,,,,,4565898.0,
Grant Williams,2023,,,,,,,,,12773601.0
Grayson Allen,2018,,,,2589513.0,,,,,
Grayson Allen,2019,,,,,2979807.0,,,,
Grayson Allen,2020,,,,,,3101959.0,,,
Grayson Allen,2021,,,,,,,4688636.0,,
Grayson Allen,2022,,,,,,,,9463070.0,
Grayson Allen,2023,,,,,,,,,9190197.0
Greg Brown,2021,,,,,,,1069919.0,,
Greg Brown,2022,,,,,,,,1657779.0,
Greg Brown,2023,,,,,,,,,576415.0
Greg Monroe,2015,21601028.0,,,,,,,,
Greg Monroe,2016,,22350171.0,,,,,,,
Greg Monroe,2017,,,27426968.0,,,,,,
Greg Monroe,2018,,,,3004947.0,,,,,
Greg Monroe,2021,,,,,,,708612.0,,
Greg Smith,2015,259503.0,,,,,,,,
Greg Whittington,2020,,,,,,404912.0,,,
Greivis Vasquez,2015,8689123.0,,,,,,,,
Greivis Vasquez,2016,,5667536.0,,,,,,,
Guerschon Yabusele,2017,,,2882578.0,,,,,,
Guerschon Yabusele,2018,,,,3325911.0,,,,,
Guerschon Yabusele,2020,,,,,,1266317.0,,,
Gui Santos,2023,,,,,,,,,1060073.0
Hamidou Diallo,2018,,,,1045380.0,,,,,
Hamidou Diallo,2019,,,,,1737855.0,,,,
Hamidou Diallo,2020,,,,,,2027733.0,,,
Hamidou Diallo,2021,,,,,,,6013007.0,,
Hamidou Diallo,2022,,,,,,,,5513497.0,
Hamidou Diallo,2023,,,,,,,,,138870.0
Harrison Barnes,2015,5099459.0,,,,,,,,
Harrison Barnes,2016,,28829921.0,,,,,,,
Harrison Barnes,2017,,,29643052.0,,,,,,
Harrison Barnes,2018,,,,30056461.0,,,,,
Harrison Barnes,2019,,,,,29618658.0,,,,
Harrison Barnes,2020,,,,,,27074338.0,,,
Harrison Barnes,2021,,,,,,,23455458.0,,
Harrison Barnes,2022,,,,,,,,19458694.0,
Harrison Barnes,2023,,,,,,,,,17505137.0
Harry Giles,2017,,,2384833.0,,,,,,
Harry Giles,2018,,,,2751694.0,,,,,
Harry Giles,2019,,,,,3163055.0,,,,
Harry Giles,2020,,,,,,1974967.0,,,
Harry Giles,2023,,,,,,,,,2375090.0
Hassan Whiteside,2015,1291977.0,,,,,,,,
Hassan Whiteside,2016,,28829921.0,,,,,,,
Hassan Whiteside,2017,,,30494048.0,,,,,,
Hassan Whiteside,2018,,,,30464164.0,,,,,
Hassan Whiteside,2019,,,,,33231237.0,,,,
Hassan Whiteside,2020,,,,,,2827417.0,,,
Hassan Whiteside,2021,,,,,,,2777011.0,,
Hassani Gravett,2021,,,,,,,122979.0,,
Haywood Highsmith,2018,,,,96313.0,,,,,
Haywood Highsmith,2021,,,,,,,633332.0,,
Haywood Highsmith,2022,,,,,,,,1858301.0,
Haywood Highsmith,2023,,,,,,,,,1958657.0
Henri Drell,2023,,,,,,,,,400840.0
Henry Ellenson,2016,,2221377.0,,,,,,,
Henry Ellenson,2017,,,2284022.0,,,,,,
Henry Ellenson,2018,,,,2742058.0,,,,,
Henry Ellenson,2020,,,,,,205938.0,,,
Henry Sims,2015,212795.0,,,,,,,,
Henry Sims,2016,,97765.0,,,,,,,
Herb Jones,2021,,,,,,,1965790.0,,
Herb Jones,2022,,,,,,,,1892614.0,
Herb Jones,2023,,,,,,,,,12372167.0
Hollis Thompson,2015,1247120.0,,,,,,,,
Hollis Thompson,2016,,1474347.0,,,,,,,
Hunter Tyson,2023,,,,,,,,,1152829.0
Ian Clark,2015,1247120.0,,,,,,,,
Ian Clark,2016,,1323993.0,,,,,,,
Ian Clark,2017,,,2022927.0,,,,,,
Ian Clark,2018,,,,2191128.0,,,,,
Ian Mahinmi,2015,5266135.0,,,,,,,,
Ian Mahinmi,2016,,20856533.0,,,,,,,
Ian Mahinmi,2017,,,20521320.0,,,,,,
