fullName,Season_x,Team,numMinutes,points,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,gamesPlayed,winPercentage,Player,Season_y,SeasonYear,Salary,Year,TS_Percentage,Simple_PER,TeamSalaryCommitment
AJ Green,2023,Milwaukee,9.85,3.2,0.4727272727272727,0.0,0.14545454545454545,2.7818181818181817,1.1090909090909091,0.18878181818181816,2.3454545454545452,0.9090909090909091,0.17483636363636362,0.07272727272727272,0.07272727272727272,0.05454545454545454,0.8545454545454545,0.14545454545454545,1.0,0.6545454545454545,0.23636363636363636,-0.5454545454545454,55,0.6545454545454545,AJ Green,2023,2023/24,1958278.0,2023,0.5686223830447145,0.5194277803414861,
AJ Griffin,2023,Atlanta,18.842105263157894,7.204301075268817,0.7956989247311828,0.12903225806451613,0.4731182795698925,6.010752688172043,2.774193548387097,0.3665483870967742,2.956989247311828,1.1720430107526882,0.3150322580645161,0.5591397849462365,0.4838709677419355,0.2347741935483871,1.2903225806451613,0.44086021505376344,1.7311827956989247,1.0,0.4838709677419355,0.6559139784946236,93,0.4946236559139785,AJ Griffin,2023,2023/24,3823245.0,2023,0.5757200797415274,0.5890490779119362,
AJ Hammons,2017,Dallas,8.10344827586207,1.5769230769230769,0.1346153846153846,0.3076923076923077,0.019230769230769232,1.4615384615384615,0.6538461538461539,0.17161538461538461,0.23076923076923078,0.09615384615384616,0.07371153846153847,0.38461538461538464,0.17307692307692307,0.07211538461538461,0.8846153846153846,0.2692307692307692,1.1538461538461537,0.6538461538461539,0.2692307692307692,0.038461538461538464,52,0.3076923076923077,AJ Hammons,2017,2017/18,1683531.0,2017,0.4834905660377358,0.43120294599017994,
Aaron Brooks,2015,Chicago,20.80392156862745,10.519607843137255,2.872549019607843,0.16666666666666666,0.6176470588235294,9.186274509803921,3.7941176470588234,0.4021274509803922,3.5784313725490198,1.3627450980392157,0.3427058823529412,1.8823529411764706,1.5686274509803921,0.5078137254901961,1.5098039215686274,0.4019607843137255,1.911764705882353,2.2254901960784315,1.7647058823529411,1.4215686274509804,102,0.5882352941176471,Aaron Brooks,2015,2015/16,2962201.0,2015,0.525218310686455,0.7966540999057491,
Aaron Brooks,2016,Chicago,15.883116883116884,6.366666666666666,2.2333333333333334,0.12222222222222222,0.4111111111111111,6.011111111111111,2.411111111111111,0.3185777777777778,2.433333333333333,0.8555555555555555,0.25764444444444445,0.9222222222222223,0.6888888888888889,0.2533444444444445,1.0222222222222221,0.3,1.3222222222222222,1.6666666666666667,1.0777777777777777,-0.022222222222222223,90,0.5111111111111111,Aaron Brooks,2016,2016/17,3519540.0,2016,0.4960867156115805,0.6973862087762333,
Aaron Brooks,2017,Indiana,13.411764705882353,3.8735632183908044,1.4942528735632183,0.10344827586206896,0.2988505747126437,3.6436781609195403,1.4367816091954022,0.25685057471264366,1.5632183908045978,0.5632183908045977,0.20975862068965515,0.5402298850574713,0.4367816091954023,0.2045977011494253,0.6436781609195402,0.20689655172413793,0.8505747126436781,1.160919540229885,0.7931034482758621,-0.4482758620689655,87,0.5172413793103449,Aaron Brooks,2017,2017/18,2715169.0,2017,0.4989931295901445,0.5210727969348659,
Aaron Gordon,2015,Orlando,17.055555555555557,4.983050847457627,0.6949152542372882,0.423728813559322,0.4067796610169492,4.254237288135593,1.8983050847457628,0.41301694915254233,0.9830508474576272,0.3050847457627119,0.14123728813559322,1.271186440677966,0.8813559322033898,0.34349152542372885,2.440677966101695,0.9830508474576272,3.4237288135593222,1.576271186440678,0.8135593220338984,-2.4237288135593222,59,0.3220338983050847,Aaron Gordon,2015,2015/16,5492157.0,2015,0.5176056338028169,0.6343178932258599,
Aaron Gordon,2016,Orlando,23.175,8.5,1.5,0.6511627906976745,0.7209302325581395,6.883720930232558,3.244186046511628,0.4126860465116279,1.6627906976744187,0.4883720930232558,0.21702325581395351,2.2674418604651163,1.5232558139534884,0.40608139534883725,4.186046511627907,1.802325581395349,5.988372093023256,1.8372093023255813,0.8023255813953488,-0.8023255813953488,86,0.4418604651162791,Aaron Gordon,2016,2016/17,5672090.0,2016,0.539244614930658,0.8508065527708787,
Aaron Gordon,2017,Orlando,28.273809523809526,12.195402298850574,1.793103448275862,0.4827586206896552,0.7816091954022989,10.459770114942529,4.7011494252873565,0.41983908045977014,3.1839080459770117,0.9195402298850575,0.24688505747126435,2.6091954022988504,1.8735632183908046,0.5030689655172415,3.5517241379310347,1.3908045977011494,4.942528735632184,2.057471264367816,1.0919540229885059,-1.9540229885057472,87,0.3563218390804598,Aaron Gordon,2017,2017/18,7059871.0,2017,0.5253099378143937,0.7793248638838474,
Aaron Gordon,2018,Orlando,31.666666666666668,13.925,1.7375,0.5875,0.7625,11.675,5.15,0.3486625,4.5375,1.55,0.2843875,3.0,2.075,0.43674999999999997,4.975,1.2,6.175,1.4875,1.4125,-1.025,80,0.3375,Aaron Gordon,2018,2018/19,26919126.0,2018,0.5357829934590227,0.7877763157894736,
